id,name,active,create_date,IMEI,DID,MDR1,MDS1,MDT1,MDR2,MDS2,MDT2,MDR3,MDS3,MDT3,MDR4,MDS4,MDT4,CHAN
933,Record_933,True,2023-12-30 12:40:41,676235125677952,00000M5,28.98,0,2,65.51,0,2,6.94,0,3,3.25,0,1,1
934,Record_934,True,2023-12-30 11:40:41,680444305995287,00000M5,31.04,0,3,52.82,0,1,6.6,0,1,3.01,0,3,1
935,Record_935,True,2023-12-30 10:40:41,752982305532620,00000M5,27.55,0,1,57.58,0,3,7.45,0,3,3.53,0,2,1
936,Record_936,True,2023-12-30 09:40:41,959817476489170,00000M5,25.38,0,1,60.73,0,1,7.88,0,2,3.74,0,2,1
937,Record_937,True,2023-12-30 08:40:41,077376652510390,00000M5,27.87,0,1,52.67,0,3,6.57,0,1,3.62,0,2,1
938,Record_938,True,2023-12-30 07:40:41,089484299359100,00000M5,23.31,0,1,51.36,0,3,6.27,0,2,3.34,0,3,1
939,Record_939,True,2023-12-30 06:40:41,029446692094735,00000M5,20.55,0,1,52.33,0,3,7.46,0,2,3.72,0,3,1
940,Record_940,True,2023-12-30 05:40:41,596502769678682,00000M5,24.08,0,1,55.84,0,1,6.15,0,3,3.81,0,2,1
941,Record_941,True,2023-12-30 04:40:41,162404347943507,00000M5,22.77,0,3,53.86,0,2,6.23,0,1,3.8,0,1,1
942,Record_942,True,2023-12-30 03:40:41,557030540682259,00000M5,33.27,0,3,69.54,0,2,7.23,0,1,3.63,0,1,1
943,Record_943,True,2023-12-30 02:40:41,208869144059573,00000M5,25.45,0,3,68.07,0,1,7.27,0,2,3.29,0,2,1
944,Record_944,True,2023-12-30 01:40:41,327581263029244,00000M5,24.86,0,2,62.84,0,1,6.61,0,2,3.68,0,2,1
945,Record_945,True,2023-12-30 00:40:41,054134457812696,00000M5,21.66,0,1,65.14,0,2,7.8,0,3,3.58,0,2,1
946,Record_946,True,2023-12-29 23:40:41,400897190239346,00000M5,23.18,0,2,51.47,0,3,7.78,0,3,3.26,0,3,1
947,Record_947,True,2023-12-29 22:40:41,763911890096172,00000M5,24.92,0,2,65.68,0,1,6.56,0,3,3.65,0,2,1
948,Record_948,True,2023-12-29 21:40:41,889418365388621,00000M5,22.59,0,2,54.53,0,3,7.31,0,2,3.53,0,1,1
949,Record_949,True,2023-12-29 20:40:41,036901197802251,00000M5,30.36,0,1,51.09,0,3,6.91,0,2,3.02,0,3,1
950,Record_950,True,2023-12-29 19:40:41,902131053756023,00000M5,30.03,0,3,56.31,0,1,6.68,0,1,3.78,0,2,1
951,Record_951,True,2023-12-29 18:40:41,343969520502808,00000M5,30.56,0,3,69.18,0,2,7.94,0,1,3.04,0,1,1
952,Record_952,True,2023-12-29 17:40:41,306799150628109,00000M5,34.14,0,3,65.8,0,3,6.69,0,2,3.94,0,3,1
953,Record_953,True,2023-12-29 16:40:41,339976250763291,00000M5,23.94,0,2,51.03,0,3,6.35,0,3,3.88,0,3,1
954,Record_954,True,2023-12-29 15:40:41,585401565801335,00000M5,32.67,0,2,56.35,0,1,7.11,0,1,3.79,0,2,1
955,Record_955,True,2023-12-29 14:40:41,691294110368315,00000M5,25.89,0,2,56.75,0,3,7.82,0,2,3.84,0,2,1
956,Record_956,True,2023-12-29 13:40:41,740800889220607,00000M5,24.21,0,1,60.16,0,3,8.0,0,1,3.12,0,3,1
957,Record_957,True,2023-12-29 12:40:41,973279756874575,00000M5,28.24,0,2,57.46,0,2,7.3,0,1,3.54,0,3,1
958,Record_958,True,2023-12-29 11:40:41,053545653762179,00000M5,24.8,0,1,67.1,0,1,6.75,0,2,3.78,0,3,1
959,Record_959,True,2023-12-29 10:40:41,072419719251406,00000M5,32.85,0,3,58.81,0,3,6.44,0,3,3.28,0,2,1
960,Record_960,True,2023-12-29 09:40:41,004729003623806,00000M5,24.2,0,1,50.36,0,1,7.94,0,2,3.23,0,2,1
961,Record_961,True,2023-12-29 08:40:41,409518200542264,00000M5,32.0,0,2,69.16,0,3,6.39,0,3,3.25,0,3,1
962,Record_962,True,2023-12-29 07:40:41,724646608423585,00000M5,34.88,0,1,52.75,0,1,7.78,0,2,3.71,0,2,1
963,Record_963,True,2023-12-29 06:40:41,129471101910155,00000M5,32.12,0,3,59.95,0,1,6.1,0,3,3.39,0,2,1
964,Record_964,True,2023-12-29 05:40:41,620254695587026,00000M5,34.85,0,1,53.3,0,3,6.01,0,3,3.01,0,3,1
965,Record_965,True,2023-12-29 04:40:41,231035173713210,00000M5,33.76,0,2,50.69,0,1,6.87,0,3,3.07,0,3,1
966,Record_966,True,2023-12-29 03:40:41,669542734104203,00000M5,32.38,0,2,58.85,0,2,7.45,0,1,3.61,0,1,1
967,Record_967,True,2023-12-29 02:40:41,507836901298080,00000M5,26.46,0,3,56.46,0,1,6.23,0,2,3.7,0,1,1
968,Record_968,True,2023-12-29 01:40:41,953422408083588,00000M5,25.49,0,3,55.2,0,2,6.95,0,3,3.45,0,2,1
969,Record_969,True,2023-12-29 00:40:41,376957852170101,00000M5,30.61,0,3,63.03,0,3,6.69,0,2,3.42,0,3,1
970,Record_970,True,2023-12-28 23:40:41,515615327319444,00000M5,23.29,0,3,51.82,0,1,6.42,0,2,3.75,0,1,1
971,Record_971,True,2023-12-28 22:40:41,438072884158072,00000M5,20.49,0,3,67.38,0,3,7.63,0,3,3.56,0,2,1
972,Record_972,True,2023-12-28 21:40:41,822919269664375,00000M5,34.75,0,2,56.87,0,2,6.55,0,3,3.38,0,1,1
973,Record_973,True,2023-12-28 20:40:41,632095806944957,00000M5,30.6,0,1,63.68,0,1,7.36,0,2,3.68,0,1,1
974,Record_974,True,2023-12-28 19:40:41,594923552681755,00000M5,34.33,0,3,55.51,0,2,7.45,0,2,3.21,0,3,1
975,Record_975,True,2023-12-28 18:40:41,196699214816213,00000M5,33.39,0,2,69.04,0,3,7.85,0,2,3.69,0,2,1
976,Record_976,True,2023-12-28 17:40:41,555244972204577,00000M5,22.69,0,3,59.17,0,3,6.1,0,3,3.51,0,2,1
977,Record_977,True,2023-12-28 16:40:41,211341821239826,00000M5,23.36,0,3,60.9,0,3,7.16,0,1,3.95,0,2,1
978,Record_978,True,2023-12-28 15:40:41,759541193109838,00000M5,20.52,0,1,54.63,0,3,7.4,0,3,3.25,0,1,1
979,Record_979,True,2023-12-28 14:40:41,619837839227672,00000M5,30.24,0,2,51.31,0,2,6.11,0,3,3.93,0,3,1
980,Record_980,True,2023-12-28 13:40:41,162914010371217,00000M5,23.97,0,3,61.26,0,1,7.11,0,1,3.88,0,2,1
981,Record_981,True,2023-12-28 12:40:41,396658007698199,00000M5,24.92,0,1,63.11,0,3,6.76,0,1,3.35,0,2,1
982,Record_982,True,2023-12-28 11:40:41,001315360597998,00000M5,27.08,0,2,61.46,0,2,7.7,0,1,3.97,0,2,1
983,Record_983,True,2023-12-28 10:40:41,670159980090054,00000M5,31.78,0,3,58.05,0,2,7.66,0,3,3.82,0,2,1
984,Record_984,True,2023-12-28 09:40:41,398133633692931,00000M5,31.7,0,3,58.57,0,1,6.6,0,2,3.64,0,2,1
985,Record_985,True,2023-12-28 08:40:41,050079120102680,00000M5,27.82,0,2,69.86,0,2,7.51,0,2,3.8,0,2,1
986,Record_986,True,2023-12-28 07:40:41,512845257522174,00000M5,24.76,0,2,66.0,0,2,6.97,0,3,3.2,0,2,1
987,Record_987,True,2023-12-28 06:40:41,482118384476447,00000M5,20.26,0,1,55.94,0,1,7.04,0,1,3.79,0,3,1
988,Record_988,True,2023-12-28 05:40:41,483256342328015,00000M5,34.94,0,2,53.77,0,2,7.14,0,3,3.94,0,3,1
989,Record_989,True,2023-12-28 04:40:41,103893661330529,00000M5,33.59,0,1,53.97,0,3,6.88,0,2,3.83,0,2,1
990,Record_990,True,2023-12-28 03:40:41,883223792605303,00000M5,33.4,0,1,64.81,0,1,7.87,0,2,3.28,0,3,1
991,Record_991,True,2023-12-28 02:40:41,640331383903473,00000M5,32.82,0,1,53.02,0,3,6.79,0,3,3.35,0,1,1
992,Record_992,True,2023-12-28 01:40:41,371722423899536,00000M5,34.79,0,3,61.7,0,3,7.21,0,3,3.5,0,3,1
993,Record_993,True,2023-12-28 00:40:41,438124004570321,00000M5,20.61,0,3,68.03,0,1,6.89,0,3,3.99,0,2,1
994,Record_994,True,2023-12-27 23:40:41,616178659144249,00000M5,32.71,0,3,54.85,0,2,6.48,0,2,3.94,0,2,1
995,Record_995,True,2023-12-27 22:40:41,136388229520169,00000M5,29.82,0,3,67.21,0,1,6.28,0,1,3.13,0,1,1
996,Record_996,True,2023-12-27 21:40:41,325827226155470,00000M5,22.3,0,1,67.26,0,2,7.97,0,1,3.65,0,3,1
997,Record_997,True,2023-12-27 20:40:41,393599833749484,00000M5,28.16,0,2,61.41,0,1,6.03,0,3,3.08,0,3,1
998,Record_998,True,2023-12-27 19:40:41,749930266539883,00000M5,27.23,0,2,61.71,0,3,7.0,0,2,3.13,0,1,1
999,Record_999,True,2023-12-27 18:40:41,772497301471363,00000M5,21.35,0,2,57.74,0,2,7.07,0,1,3.44,0,2,1
1000,Record_1000,True,2023-12-27 17:40:41,509394476149551,00000M5,24.24,0,2,60.0,0,2,7.54,0,3,3.66,0,1,1
1001,Record_1001,True,2023-12-27 16:40:41,126239502489189,00000M5,26.51,0,1,61.7,0,3,7.71,0,1,3.48,0,1,1
1002,Record_1002,True,2023-12-27 15:40:41,588687241468751,00000M5,32.68,0,3,62.75,0,3,6.67,0,2,3.69,0,3,1
1003,Record_1003,True,2023-12-27 14:40:41,163020814720881,00000M5,26.48,0,3,58.15,0,3,7.02,0,3,3.57,0,3,1
1004,Record_1004,True,2023-12-27 13:40:41,803921673067839,00000M5,28.64,0,2,57.85,0,1,6.79,0,3,3.37,0,3,1
1005,Record_1005,True,2023-12-27 12:40:41,397837009102477,00000M5,33.75,0,3,57.16,0,3,7.91,0,2,3.92,0,1,1
1006,Record_1006,True,2023-12-27 11:40:41,469668166577715,00000M5,32.6,0,3,56.37,0,1,6.16,0,1,3.91,0,2,1
1007,Record_1007,True,2023-12-27 10:40:41,830840047072254,00000M5,29.39,0,3,51.13,0,1,6.26,0,2,3.31,0,1,1
1008,Record_1008,True,2023-12-27 09:40:41,059169264334884,00000M5,29.8,0,2,61.38,0,1,7.19,0,3,3.89,0,2,1
1009,Record_1009,True,2023-12-27 08:40:41,817243287014169,00000M5,33.35,0,2,64.13,0,2,7.53,0,3,3.4,0,3,1
1010,Record_1010,True,2023-12-27 07:40:41,507951104739749,00000M5,28.1,0,1,63.02,0,2,6.23,0,3,3.32,0,2,1
1011,Record_1011,True,2023-12-27 06:40:41,908023301603836,00000M5,34.09,0,3,69.46,0,1,6.02,0,3,3.03,0,2,1
1012,Record_1012,True,2023-12-27 05:40:41,444261036612244,00000M5,25.43,0,3,50.67,0,3,7.15,0,1,3.77,0,2,1
1013,Record_1013,True,2023-12-27 04:40:41,322128016865257,00000M5,22.95,0,2,60.92,0,2,7.43,0,3,3.14,0,1,1
1014,Record_1014,True,2023-12-27 03:40:41,822815028669630,00000M5,33.14,0,3,63.9,0,2,6.71,0,1,3.14,0,1,1
1015,Record_1015,True,2023-12-27 02:40:41,379332122259455,00000M5,30.57,0,1,53.36,0,3,6.94,0,1,3.2,0,1,1
1016,Record_1016,True,2023-12-27 01:40:41,276336804568899,00000M5,29.74,0,1,65.44,0,1,7.09,0,1,3.38,0,1,1
1017,Record_1017,True,2023-12-27 00:40:41,043056809545119,00000M5,25.75,0,3,51.09,0,1,7.14,0,3,3.22,0,3,1
1018,Record_1018,True,2023-12-26 23:40:41,250112369854773,00000M5,32.71,0,2,60.85,0,2,6.6,0,2,3.02,0,3,1
1019,Record_1019,True,2023-12-26 22:40:41,557866849543329,00000M5,21.31,0,1,57.72,0,3,6.23,0,1,3.74,0,1,1
1020,Record_1020,True,2023-12-26 21:40:41,279891382155200,00000M5,24.46,0,2,64.74,0,3,7.68,0,1,3.32,0,1,1
1021,Record_1021,True,2023-12-26 20:40:41,351927993834777,00000M5,25.11,0,3,61.57,0,2,7.97,0,2,3.05,0,2,1
1022,Record_1022,True,2023-12-26 19:40:41,731401374270254,00000M5,24.0,0,2,50.6,0,1,6.07,0,3,3.84,0,2,1
1023,Record_1023,True,2023-12-26 18:40:41,205654286722365,00000M5,29.41,0,3,59.47,0,1,6.68,0,1,3.54,0,3,1
1024,Record_1024,True,2023-12-26 17:40:41,628120971992772,00000M5,21.85,0,3,67.67,0,1,7.22,0,1,3.8,0,1,1
1025,Record_1025,True,2023-12-26 16:40:41,505614147439120,00000M5,26.17,0,2,60.69,0,3,7.02,0,2,3.13,0,3,1
1026,Record_1026,True,2023-12-26 15:40:41,989514736421064,00000M5,21.53,0,1,55.65,0,2,7.62,0,2,3.03,0,2,1
1027,Record_1027,True,2023-12-26 14:40:41,848378466359909,00000M5,27.97,0,1,58.62,0,2,7.43,0,2,3.41,0,3,1
1028,Record_1028,True,2023-12-26 13:40:41,517799614701012,00000M5,27.43,0,2,54.59,0,2,7.22,0,1,3.62,0,3,1
1029,Record_1029,True,2023-12-26 12:40:41,463521046414260,00000M5,28.22,0,2,61.51,0,1,7.65,0,2,3.57,0,1,1
1030,Record_1030,True,2023-12-26 11:40:41,173699702143780,00000M5,33.98,0,3,64.78,0,1,6.29,0,2,3.41,0,2,1
1031,Record_1031,True,2023-12-26 10:40:41,655006290708704,00000M5,22.97,0,1,62.5,0,2,7.67,0,1,3.42,0,2,1
1032,Record_1032,True,2023-12-26 09:40:41,412443535407478,00000M5,32.76,0,1,67.86,0,3,7.27,0,1,3.69,0,2,1
1033,Record_1033,True,2023-12-26 08:40:41,712370380507894,00000M5,29.56,0,1,51.67,0,2,6.58,0,3,3.12,0,2,1
1034,Record_1034,True,2023-12-26 07:40:41,585930497043475,00000M5,33.28,0,3,62.33,0,3,6.29,0,2,3.64,0,1,1
1035,Record_1035,True,2023-12-26 06:40:41,514761102252968,00000M5,32.42,0,3,57.09,0,2,6.85,0,2,3.3,0,2,1
1036,Record_1036,True,2023-12-26 05:40:41,792624381322841,00000M5,30.79,0,2,54.03,0,2,6.81,0,1,3.31,0,1,1
1037,Record_1037,True,2023-12-26 04:40:41,965031142720380,00000M5,24.78,0,3,58.23,0,1,7.28,0,3,3.49,0,2,1
1038,Record_1038,True,2023-12-26 03:40:41,075400997514875,00000M5,29.21,0,1,60.87,0,3,6.73,0,2,3.98,0,1,1
1039,Record_1039,True,2023-12-26 02:40:41,264884547926805,00000M5,31.03,0,2,51.33,0,1,7.71,0,1,3.05,0,2,1
1040,Record_1040,True,2023-12-26 01:40:41,949541914438357,00000M5,29.41,0,3,68.74,0,3,7.41,0,2,3.99,0,2,1
1041,Record_1041,True,2023-12-26 00:40:41,494803077055177,00000M5,32.6,0,2,60.62,0,1,6.45,0,3,3.34,0,3,1
1042,Record_1042,True,2023-12-25 23:40:41,540502017966087,00000M5,30.82,0,2,67.12,0,1,7.88,0,1,3.86,0,1,1
1043,Record_1043,True,2023-12-25 22:40:41,764179849846168,00000M5,33.4,0,2,63.32,0,3,6.34,0,3,3.53,0,1,1
1044,Record_1044,True,2023-12-25 21:40:41,255721801801918,00000M5,29.18,0,1,52.0,0,2,6.51,0,2,3.0,0,1,1
1045,Record_1045,True,2023-12-25 20:40:41,800909677305483,00000M5,34.94,0,1,61.78,0,1,6.95,0,2,3.99,0,2,1
1046,Record_1046,True,2023-12-25 19:40:41,304068795096810,00000M5,26.74,0,3,61.06,0,3,7.32,0,2,3.29,0,2,1
1047,Record_1047,True,2023-12-25 18:40:41,122098893253602,00000M5,22.46,0,2,64.85,0,3,7.93,0,1,3.61,0,3,1
1048,Record_1048,True,2023-12-25 17:40:41,949294804179967,00000M5,31.15,0,2,60.53,0,2,7.18,0,3,3.27,0,1,1
1049,Record_1049,True,2023-12-25 16:40:41,321146594479499,00000M5,22.83,0,1,53.82,0,1,6.7,0,1,3.41,0,1,1
1050,Record_1050,True,2023-12-25 15:40:41,683253801892359,00000M5,26.56,0,2,50.66,0,3,6.42,0,1,3.5,0,2,1
1051,Record_1051,True,2023-12-25 14:40:41,680437071506616,00000M5,30.02,0,3,60.41,0,1,7.62,0,1,3.37,0,3,1
1052,Record_1052,True,2023-12-25 13:40:41,258464378982392,00000M5,28.44,0,1,56.3,0,1,7.44,0,2,3.58,0,1,1
1053,Record_1053,True,2023-12-25 12:40:41,111177803710495,00000M5,25.55,0,3,61.26,0,3,7.48,0,1,3.54,0,3,1
1054,Record_1054,True,2023-12-25 11:40:41,840599297469408,00000M5,27.28,0,1,58.02,0,1,6.78,0,1,3.71,0,3,1
1055,Record_1055,True,2023-12-25 10:40:41,378041486639646,00000M5,25.02,0,3,61.0,0,1,7.61,0,2,3.19,0,3,1
1056,Record_1056,True,2023-12-25 09:40:41,133113352484276,00000M5,33.77,0,3,65.09,0,1,7.37,0,2,3.29,0,1,1
1057,Record_1057,True,2023-12-25 08:40:41,397303737615587,00000M5,31.92,0,3,65.84,0,2,7.74,0,1,3.79,0,3,1
1058,Record_1058,True,2023-12-25 07:40:41,824881405334863,00000M5,34.92,0,2,69.34,0,2,6.86,0,2,3.77,0,2,1
1059,Record_1059,True,2023-12-25 06:40:41,423780153223955,00000M5,26.81,0,2,66.2,0,1,7.55,0,1,3.36,0,2,1
1060,Record_1060,True,2023-12-25 05:40:41,770130190251768,00000M5,25.8,0,3,59.33,0,1,7.2,0,3,3.64,0,1,1
1061,Record_1061,True,2023-12-25 04:40:41,104490025477328,00000M5,30.5,0,2,68.02,0,1,6.79,0,2,3.56,0,3,1
1062,Record_1062,True,2023-12-25 03:40:41,234334496786054,00000M5,25.1,0,3,61.56,0,1,7.96,0,1,3.57,0,2,1
1063,Record_1063,True,2023-12-25 02:40:41,723806473857579,00000M5,26.44,0,1,60.69,0,2,7.02,0,2,3.18,0,1,1
1064,Record_1064,True,2023-12-25 01:40:41,081762550917717,00000M5,25.47,0,2,52.35,0,1,7.78,0,2,3.42,0,1,1
1065,Record_1065,True,2023-12-25 00:40:41,512385738485538,00000M5,21.38,0,1,65.87,0,1,6.07,0,2,3.35,0,1,1
1066,Record_1066,True,2023-12-24 23:40:41,090024734560081,00000M5,29.82,0,3,52.76,0,3,7.1,0,3,3.74,0,3,1
1067,Record_1067,True,2023-12-24 22:40:41,763233152244147,00000M5,21.82,0,1,69.59,0,3,7.64,0,1,3.67,0,2,1
1068,Record_1068,True,2023-12-24 21:40:41,761739669844276,00000M5,22.33,0,3,62.88,0,2,7.78,0,1,3.78,0,1,1
1069,Record_1069,True,2023-12-24 20:40:41,989953387773741,00000M5,22.81,0,2,58.22,0,1,7.69,0,1,3.55,0,2,1
1070,Record_1070,True,2023-12-24 19:40:41,808190214592842,00000M5,28.75,0,3,69.75,0,1,7.05,0,2,3.31,0,1,1
1071,Record_1071,True,2023-12-24 18:40:41,474913902966216,00000M5,25.59,0,2,58.01,0,3,6.28,0,2,3.63,0,1,1
1072,Record_1072,True,2023-12-24 17:40:41,092259946623778,00000M5,29.55,0,1,65.2,0,1,6.04,0,1,3.69,0,1,1
1073,Record_1073,True,2023-12-24 16:40:41,296887451504868,00000M5,26.87,0,2,63.36,0,2,7.48,0,3,3.46,0,2,1
1074,Record_1074,True,2023-12-24 15:40:41,488760575850641,00000M5,22.09,0,2,59.58,0,2,7.11,0,3,3.63,0,2,1
1075,Record_1075,True,2023-12-24 14:40:41,365419234693565,00000M5,26.34,0,1,59.75,0,2,6.84,0,2,3.81,0,1,1
1076,Record_1076,True,2023-12-24 13:40:41,494688210076966,00000M5,22.57,0,1,55.64,0,2,6.92,0,3,3.95,0,3,1
1077,Record_1077,True,2023-12-24 12:40:41,072424052285481,00000M5,22.99,0,1,58.27,0,1,6.21,0,3,3.54,0,3,1
1078,Record_1078,True,2023-12-24 11:40:41,703649098267377,00000M5,34.89,0,3,56.15,0,2,7.6,0,1,3.96,0,1,1
1079,Record_1079,True,2023-12-24 10:40:41,306262192345105,00000M5,32.79,0,2,56.0,0,2,7.55,0,1,3.46,0,3,1
1080,Record_1080,True,2023-12-24 09:40:41,004948356227193,00000M5,28.73,0,3,69.81,0,1,7.86,0,2,3.02,0,2,1
1081,Record_1081,True,2023-12-24 08:40:41,405303341350529,00000M5,30.34,0,1,58.33,0,3,7.82,0,2,3.19,0,1,1
1082,Record_1082,True,2023-12-24 07:40:41,399454806575043,00000M5,22.35,0,1,58.42,0,1,7.91,0,1,3.21,0,3,1
1083,Record_1083,True,2023-12-24 06:40:41,974929550999563,00000M5,21.59,0,1,58.49,0,3,6.29,0,1,3.84,0,1,1
1084,Record_1084,True,2023-12-24 05:40:41,308926800147413,00000M5,24.99,0,2,61.46,0,2,7.07,0,3,3.93,0,2,1
1085,Record_1085,True,2023-12-24 04:40:41,862762523647997,00000M5,20.89,0,3,61.14,0,2,7.49,0,1,3.38,0,2,1
1086,Record_1086,True,2023-12-24 03:40:41,961185936864527,00000M5,27.06,0,2,63.06,0,3,7.36,0,3,3.8,0,1,1
1087,Record_1087,True,2023-12-24 02:40:41,698883951946316,00000M5,20.74,0,1,54.62,0,1,6.39,0,3,3.04,0,2,1
1088,Record_1088,True,2023-12-24 01:40:41,575527452098233,00000M5,22.77,0,3,68.33,0,3,6.19,0,1,3.09,0,2,1
1089,Record_1089,True,2023-12-24 00:40:41,679177655369417,00000M5,22.45,0,1,60.08,0,1,6.16,0,1,3.16,0,3,1
1090,Record_1090,True,2023-12-23 23:40:41,205987854033221,00000M5,20.28,0,2,52.0,0,3,7.64,0,1,3.47,0,2,1
1091,Record_1091,True,2023-12-23 22:40:41,518857374696228,00000M5,26.98,0,2,57.25,0,3,6.25,0,2,3.52,0,1,1
1092,Record_1092,True,2023-12-23 21:40:41,028791209035398,00000M5,26.04,0,1,57.34,0,3,7.15,0,1,3.22,0,2,1
1093,Record_1093,True,2023-12-23 20:40:41,359443178524153,00000M5,31.47,0,3,65.18,0,3,7.53,0,3,3.55,0,2,1
1094,Record_1094,True,2023-12-23 19:40:41,017789095872478,00000M5,20.74,0,3,59.19,0,3,6.15,0,1,3.62,0,3,1
1095,Record_1095,True,2023-12-23 18:40:41,832419464233879,00000M5,28.12,0,3,54.19,0,3,7.74,0,1,3.02,0,1,1
1096,Record_1096,True,2023-12-23 17:40:41,011736508268238,00000M5,24.26,0,3,58.18,0,2,6.73,0,2,3.92,0,3,1
1097,Record_1097,True,2023-12-23 16:40:41,907014865529941,00000M5,32.61,0,3,57.22,0,1,6.31,0,1,3.7,0,1,1
1098,Record_1098,True,2023-12-23 15:40:41,553820627478404,00000M5,34.67,0,2,55.03,0,2,7.59,0,1,3.83,0,2,1
1099,Record_1099,True,2023-12-23 14:40:41,060331266495981,00000M5,21.42,0,1,50.13,0,1,7.69,0,1,3.93,0,2,1
1100,Record_1100,True,2023-12-23 13:40:41,806789960217994,00000M5,22.23,0,3,51.62,0,1,6.09,0,3,3.87,0,3,1
1101,Record_1101,True,2023-12-23 12:40:41,509250535528941,00000M5,20.89,0,2,51.84,0,3,6.81,0,2,3.57,0,3,1
1102,Record_1102,True,2023-12-23 11:40:41,929953712769201,00000M5,22.75,0,2,55.94,0,1,7.9,0,3,3.43,0,2,1
1103,Record_1103,True,2023-12-23 10:40:41,347731471536086,00000M5,23.95,0,1,57.08,0,3,6.01,0,2,3.83,0,2,1
